amfi_code,alpha,beta
100016,0.04476638414892612,-1.9635903754166785e-09
100025,0.045257633566813664,-5.19700229492385e-10
100033,0.24993659097450882,4.79344808668878e-09
101206,0.1717714257184474,9.268523755280992e-09
101207,0.18038813857436103,-1.5872830889301894e-08
101208,0.06062293228887902,5.33370966957738e-11
102885,0.16029215763145677,2.074377453506897e-09
102886,0.0636062534951953,-7.767785419977631e-09
102887,0.13527756852494574,5.912001639494764e-09
118632,0.2282854196753199,-2.215457331096565e-09
118633,0.13233806751965163,4.9661755185633095e-09
118634,0.18275980622413518,-9.87537331321096e-10
118635,0.13795137693319182,2.889834189546134e-09
118636,0.0478952815437272,6.249849315550766e-10
119092,0.08958174230251727,-4.385542946190386e-09
119093,0.0453646705230155,8.162685265308167e-09
119094,0.25590221115462375,6.108331255932958e-10
119095,0.15068939581822327,-2.2640682379002787e-08
119120,0.058935470019447864,-6.320632534296877e-10
119551,0.17942330730287462,1.1156731979208715e-08
119552,0.22064554812079182,-4.921085537668275e-09
119598,0.2901132761011054,2.7114094248789046e-09
119599,0.04941664628655061,2.8431678870476444e-10
120503,0.19672553295929862,-4.524854003814536e-09
120504,0.2088783587471849,7.715995719266856e-10
120505,0.30479051421356784,-2.6238802924101666e-09
120506,0.14104708181308517,4.92456415289323e-09
120507,0.06712171462976929,7.06297799141754e-11
120841,0.11868045257986366,2.7816019265565444e-09
120842,0.0632313614380746,3.3222980058777297e-09
120843,0.2852317631659693,-2.7301809801199457e-09
120844,0.06463676233761434,-1.995665296805253e-11
125497,0.16076989996293134,3.897569275775009e-09
125498,0.1022661146229716,3.870275076912866e-09
148567,0.2739279776566436,-7.267301807809925e-10
148568,0.23102146742665858,-4.994334059416237e-09
148569,0.27102971488296435,2.644224748770506e-09
149322,0.11680510253550355,3.199854111073521e-09
149323,0.2869993972610488,-4.559389760489183e-09
149324,0.2652992756883274,7.702719240778447e-09
